,Sensor 0,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Gyro 0,Gyro 1,Gyro 2,Orientation 0,Orientation 1,Orientation 2,Orientation 3
323,41,59,136,99,311,247,300,42,-3956,525,-1559,4704,3693,524,-15245
324,41,59,136,99,311,247,300,42,-3785,651,-1501,4598,3599,1246,-15258
325,35,50,115,132,321,266,317,52,-3785,651,-1501,4598,3599,1246,-15258
326,35,50,115,132,321,266,317,52,-3693,756,-1453,4487,3520,1954,-15235
327,35,39,120,179,329,272,328,57,-3693,756,-1453,4487,3520,1954,-15235
328,35,39,120,179,329,272,328,57,-3540,835,-1300,4385,3460,2634,-15176
329,36,36,134,202,369,276,379,74,-3540,835,-1300,4385,3460,2634,-15176
330,36,36,134,202,369,276,379,74,-3257,889,-1181,4281,3420,3270,-15091
331,47,46,150,219,393,262,435,88,-3257,889,-1181,4281,3420,3270,-15091
332,47,46,150,219,393,262,435,88,-2854,866,-1140,4164,3392,3833,-14997
333,57,55,191,277,505,268,477,126,-2854,866,-1140,4164,3392,3833,-14997
334,57,55,191,277,505,268,477,126,-2436,831,-1194,4022,3375,4319,-14907
335,73,67,217,291,630,343,563,183,-2436,831,-1194,4022,3375,4319,-14907
336,73,67,217,291,630,343,563,183,-2397,727,-1313,3861,3333,4794,-14813
337,81,75,244,357,770,368,589,234,-2397,727,-1313,3861,3333,4794,-14813
338,81,75,244,357,770,368,589,234,-2475,489,-1241,3720,3248,5273,-14705
339,100,107,293,478,883,475,610,254,-2475,489,-1241,3720,3248,5273,-14705
340,100,107,293,478,883,475,610,254,-2266,346,-1150,3588,3149,5716,-14594
341,103,111,306,550,947,527,617,267,-2266,346,-1150,3588,3149,5716,-14594
342,103,111,306,550,947,527,617,267,-2092,216,-1369,3419,3023,6141,-14488
343,112,122,319,563,1015,576,569,264,-2092,216,-1369,3419,3023,6141,-14488
344,112,122,319,563,1015,576,569,264,-1442,168,-1287,3225,2964,6580,-14351
345,110,125,367,698,1042,590,638,276,-1442,168,-1287,3225,2964,6580,-14351
346,110,125,367,698,1042,590,638,276,-1288,363,-1052,3023,2903,7010,-14203
347,109,126,356,731,1024,578,653,243,-1288,363,-1052,3023,2903,7010,-14203
348,109,126,356,731,1024,578,653,243,-735,553,-860,2804,2865,7339,-14089
349,102,107,337,704,983,534,729,294,-735,553,-860,2804,2865,7339,-14089
350,102,107,337,704,983,534,729,294,245,472,-726,2595,2866,7484,-14053
351,107,105,323,668,961,547,747,322,245,472,-726,2595,2866,7484,-14053
352,107,105,323,668,961,547,747,322,728,466,-484,2422,2914,7522,-14053
353,96,94,306,651,880,497,754,324,728,466,-484,2422,2914,7522,-14053
354,96,94,306,651,880,497,754,324,1129,454,-114,2292,2997,7487,-14076
355,90,84,230,490,774,448,667,300,1129,454,-114,2292,2997,7487,-14076
356,90,84,230,490,774,448,667,300,1726,464,329,2236,3134,7256,-14176
357,86,80,209,382,672,435,656,302,1726,464,329,2236,3134,7256,-14176
358,86,80,209,382,672,435,656,302,2526,444,696,2209,3315,6884,-14324
359,81,87,174,289,554,382,534,247,2526,444,696,2209,3315,6884,-14324
360,81,87,174,289,554,382,534,247,3345,459,1007,2197,3536,6369,-14510
361,71,100,218,239,461,278,474,241,3345,459,1007,2197,3536,6369,-14510
362,71,100,218,239,461,278,474,241,4240,616,1459,2205,3831,5691,-14714
363,69,102,205,197,310,248,417,238,4240,616,1459,2205,3831,5691,-14714
364,69,102,205,197,310,248,417,238,5140,629,1984,2256,4174,4822,-14923
365,68,110,210,187,256,197,363,223,5140,629,1984,2256,4174,4822,-14923
366,68,110,210,187,256,197,363,223,5661,657,2308,2329,4532,3818,-15096
367,66,109,221,160,192,221,357,221,5661,657,2308,2329,4532,3818,-15096
368,66,109,221,160,192,221,357,221,6391,759,2929,2461,4930,2620,-15206
369,58,98,218,153,192,256,361,296,6391,759,2929,2461,4930,2620,-15206
370,58,98,218,153,192,256,361,296,6551,1156,3737,2702,5393,1317,-15176
371,117,89,170,169,203,311,381,454,6551,1156,3737,2702,5393,1317,-15176
372,117,89,170,169,203,311,381,454,6283,1685,4276,3005,5898,74,-14987
373,149,80,156,195,294,375,533,754,6283,1685,4276,3005,5898,74,-14987
374,149,80,156,195,294,375,533,754,6188,2059,4862,3387,6416,-1178,-14643
375,214,112,160,268,435,465,640,878,6188,2059,4862,3387,6416,-1178,-14643
376,214,112,160,268,435,465,640,878,6081,2514,5635,3876,6939,-2440,-14118
377,246,130,176,324,546,703,687,1011,6081,2514,5635,3876,6939,-2440,-14118
378,246,130,176,324,546,703,687,1011,5246,2957,6095,4477,7422,-3569,-13438
379,253,152,201,417,747,890,788,1041,5246,2957,6095,4477,7422,-3569,-13438
380,253,152,201,417,747,890,788,1041,4581,3159,6444,5152,7824,-4588,-12635
381,280,266,281,432,946,1065,818,993,4581,3159,6444,5152,7824,-4588,-12635
382,280,266,281,432,946,1065,818,993,6070,3030,7256,5751,8172,-5840,-11597
383,387,456,530,615,1037,1317,837,874,6070,3030,7256,5751,8172,-5840,-11597
384,387,456,530,615,1037,1317,837,874,5760,3024,6945,6275,8428,-6960,-10468
385,607,622,654,854,1170,1437,822,904,5760,3024,6945,6275,8428,-6960,-10468
386,607,622,654,854,1170,1437,822,904,4238,2022,5420,6638,8512,-7780,-9560
387,713,735,753,994,1258,1400,908,835,4238,2022,5420,6638,8512,-7780,-9560
388,713,735,753,994,1258,1400,908,835,312,715,1269,6801,8500,-7878,-9374
389,742,872,845,1096,1260,1418,964,870,312,715,1269,6801,8500,-7878,-9374
390,742,872,845,1096,1260,1418,964,870,-1161,352,3637,7309,8128,-8085,-9143
391,857,1048,1026,1131,1193,1352,1020,963,-1161,352,3637,7309,8128,-8085,-9143
392,857,1048,1026,1131,1193,1352,1020,963,-1182,420,3187,7766,7786,-8203,-8956
393,1154,1124,1055,1160,1153,1188,1002,986,-1182,420,3187,7766,7786,-8203,-8956
394,1154,1124,1055,1160,1153,1188,1002,986,1216,576,2470,7961,7711,-8456,-8608
395,1280,1153,1020,1068,1051,1128,1078,1057,1216,576,2470,7961,7711,-8456,-8608
396,1280,1153,1020,1068,1051,1128,1078,1057,2261,284,1371,7939,7789,-8743,-8264
397,1352,1115,996,1210,1020,1095,997,1179,2261,284,1371,7939,7789,-8743,-8264
398,1352,1115,996,1210,1020,1095,997,1179,896,102,885,7961,7783,-8871,-8111
399,1400,1118,936,1258,991,962,887,1202,896,102,885,7961,7783,-8871,-8111
