,Sensor 0,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Gyro 0,Gyro 1,Gyro 2,Orientation 0,Orientation 1,Orientation 2,Orientation 3
220,50,49,81,134,27,41,71,45,-35,56,62,-3941,7483,3189,13665
221,50,49,81,134,27,41,71,45,-75,48,73,-3947,7486,3171,13665
222,49,47,81,116,26,40,72,47,-75,48,73,-3947,7486,3171,13665
223,49,47,81,116,26,40,72,47,-90,15,59,-3950,7492,3152,13665
224,47,45,76,116,27,39,69,44,-90,15,59,-3950,7492,3152,13665
225,47,45,76,116,27,39,69,44,-107,-30,44,-3948,7507,3132,13663
226,52,44,70,98,24,40,70,39,-107,-30,44,-3948,7507,3132,13663
227,52,44,70,98,24,40,70,39,-130,-49,76,-3948,7525,3108,13658
228,53,46,72,106,20,41,66,40,-130,-49,76,-3948,7525,3108,13658
229,53,46,72,106,20,41,66,40,-129,-34,116,-3954,7544,3080,13652
230,46,44,70,109,20,40,66,41,-129,-34,116,-3954,7544,3080,13652
231,46,44,70,109,20,40,66,41,-82,-19,131,-3967,7559,3056,13646
232,48,47,68,106,21,40,67,45,-82,-19,131,-3967,7559,3056,13646
233,48,47,68,106,21,40,67,45,-26,-31,117,-3982,7570,3044,13638
234,59,48,71,101,23,41,71,45,-26,-31,117,-3982,7570,3044,13638
235,59,48,71,101,23,41,71,45,-41,-24,112,-3994,7580,3031,13632
236,53,41,77,106,25,42,72,45,-41,-24,112,-3994,7580,3031,13632
237,53,41,77,106,25,42,72,45,-101,-36,112,-4001,7591,3008,13628
238,51,39,71,99,24,40,73,46,-101,-36,112,-4001,7591,3008,13628
239,51,39,71,99,24,40,73,46,-123,-22,122,-4010,7605,2978,13624
240,50,38,71,73,24,42,75,47,-123,-22,122,-4010,7605,2978,13624
241,50,38,71,73,24,42,75,47,-73,-22,99,-4019,7615,2958,13621
242,59,36,76,74,24,45,75,42,-73,-22,99,-4019,7615,2958,13621
243,59,36,76,74,24,45,75,42,-8,-14,74,-4029,7617,2950,13618
244,50,39,70,74,24,45,71,44,-8,-14,74,-4029,7617,2950,13618
245,50,39,70,74,24,45,71,44,-2,-7,41,-4036,7616,2945,13618
246,51,46,63,80,22,44,69,46,-2,-7,41,-4036,7616,2945,13618
247,51,46,63,80,22,44,69,46,-42,2,42,-4040,7616,2935,13619
248,53,44,70,100,23,45,68,45,-42,2,42,-4040,7616,2935,13619
249,53,44,70,100,23,45,68,45,-88,12,49,-4041,7619,2915,13621
